"rank_id","hit_id","assignment_id","worker_id","time","rank0","rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","trial","gen"
1,"3IJ95K7NDWBCJZ6Z9SFVOF5SC40GNO","3L2IS5HSFAHYB15NJZ9DHE13WURNUQ","A3IR7DFEKLLLO","2017-12-11 03:49:37+00",7,20,18,16,9999,21,-9999,-9999,-9999,-9999,2,0
2,"31KSVEGZ33RTVJORH40UJ2WQ7PEWRQ","3M23Y66PO26AP37RVDSW02XTG7HS65","A3IR7DFEKLLLO","2017-12-11 03:49:57+00",2,11,14,8,9999,15,-9999,-9999,-9999,-9999,1,0
3,"36AZSFEYZ3ZT0N7XVX98XL88IUABVJ","3LKC68YZ3A2TLQU4FEORERM57K7OW5","A3IR7DFEKLLLO","2017-12-11 03:50:14+00",19,12,13,6,3,9999,-9999,-9999,-9999,-9999,0,0
4,"36AZSFEYZ3ZT0N7XVX98XL88IUABVJ","37XITHEISW8N45GFQF5UWSK7QR9CRT","A2OTDMCV8CZWML","2017-12-11 03:51:13+00",19,9999,3,6,13,12,-9999,-9999,-9999,-9999,0,0
5,"36AZSFEYZ3ZT0N7XVX98XL88IUABVJ","39GHHAVOMFQ3BDKNPVQ3B3MSOXZ4JH","AHLS6AZ1VTNH7","2017-12-11 03:51:56+00",12,19,13,6,3,9999,-9999,-9999,-9999,-9999,0,0
6,"31KSVEGZ33RTVJORH40UJ2WQ7PEWRQ","3YZ8UPK3VTLFKX8WU90Z137RXQDCUX","A2OTDMCV8CZWML","2017-12-11 03:52:26+00",9999,11,14,2,8,15,-9999,-9999,-9999,-9999,1,0
7,"3IJ95K7NDWBCJZ6Z9SFVOF5SC40GNO","3HSYG7LRBJXJ0ZF8S8DVJZB108PKKM","AHLS6AZ1VTNH7","2017-12-11 03:52:29+00",18,7,21,20,16,9999,-9999,-9999,-9999,-9999,2,0
8,"3IJ95K7NDWBCJZ6Z9SFVOF5SC40GNO","3PDJHANYK5FLZUTBKJGXWOQR7W16HZ","A1Z37HK53J8S87","2017-12-11 03:52:44+00",21,9999,7,18,16,20,-9999,-9999,-9999,-9999,2,0
9,"3IJ95K7NDWBCJZ6Z9SFVOF5SC40GNO","30LSNF239UUXDOLU3ZMF6NAUR4DI2M","A2OTDMCV8CZWML","2017-12-11 03:53:15+00",9999,20,16,18,7,21,-9999,-9999,-9999,-9999,2,0
10,"3IJ95K7NDWBCJZ6Z9SFVOF5SC40GNO","3X0H8UUIT1N8JIMXMV50YWW649BWSB","A3NKTB1JU5AKIW","2017-12-11 03:54:19+00",21,9999,16,18,20,7,-9999,-9999,-9999,-9999,2,0
11,"31KSVEGZ33RTVJORH40UJ2WQ7PEWRQ","3BV8HQ2ZZW06P7LXED65F23NU1CA6T","A3NKTB1JU5AKIW","2017-12-11 03:55:05+00",2,14,11,9999,8,15,-9999,-9999,-9999,-9999,1,0
12,"36AZSFEYZ3ZT0N7XVX98XL88IUABVJ","3PB5A5BD0V5Q3YC5JN37H2EMN797G1","A3NKTB1JU5AKIW","2017-12-11 03:55:33+00",19,12,6,3,9999,13,-9999,-9999,-9999,-9999,0,0
13,"3IJ95K7NDWBCJZ6Z9SFVOF5SC40GNO","3JMSRU9HQITUUAHAVQGZND9DW9ZVEY","ARMGNUJBUW582","2017-12-11 03:57:25+00",21,9999,16,20,18,7,-9999,-9999,-9999,-9999,2,0
14,"31KSVEGZ33RTVJORH40UJ2WQ7PEWRQ","39LOEL67OS4T9050YDOTC8L8UMA83H","A2GYXEC3JBVINM","2017-12-11 04:00:01+00",8,2,11,14,9999,15,-9999,-9999,-9999,-9999,1,0
15,"36AZSFEYZ3ZT0N7XVX98XL88IUABVJ","30OG32W0SUAHM581TZU8DWF0A6ZNEB","A14X9MMC9P7XI8","2017-12-11 04:02:47+00",19,3,12,6,13,9999,-9999,-9999,-9999,-9999,0,0
16,"36AZSFEYZ3ZT0N7XVX98XL88IUABVJ","3P529IW9KYKJ4J5CCXYZIMWBHCELFP","A3BZVFD82AVLT8","2017-12-11 04:05:26+00",19,13,12,6,3,9999,-9999,-9999,-9999,-9999,0,0
17,"36AZSFEYZ3ZT0N7XVX98XL88IUABVJ","3NLZY2D53POGV8VLQD9TUL0POEOLQK","A29CY5Y79TEOW4","2017-12-11 04:12:09+00",19,12,6,13,3,9999,-9999,-9999,-9999,-9999,0,0
18,"32CAVSKPCDOSAA05OA6EVNTGICW1UP","3634BBTX0OTHEIX6RU1MQ64J09ZFIM","A10YS8AVLQWUZZ","2017-12-11 16:04:11+00",9999,23,24,29,-9999,-9999,-9999,-9999,-9999,-9999,2,1
19,"31GECDVA9IL2FLB1YYKSAD6HN1U66Q","3GGAI1SQEVXW7P3NL79DATQXK5RCMO","ASXN1TE7TSOMU","2017-12-11 16:06:34+00",37,30,31,27,26,9999,-9999,-9999,-9999,-9999,1,1
20,"3IV1AEQ4DQC17U9WBWBF3V7DF24J8V","3T3IWE1XG6M4EL3QZMBKGCA6ISOQT8","A10HEV2856GIQL","2017-12-11 16:07:31+00",36,35,34,33,25,9999,-9999,-9999,-9999,-9999,0,1
21,"31GECDVA9IL2FLB1YYKSAD6HN1U66Q","3WJEQKOXA81BILK087UOK6C6MRC1A4","A1NPDFZ4IF1WC4","2017-12-11 16:10:04+00",30,31,37,27,26,9999,-9999,-9999,-9999,-9999,1,1
22,"3IV1AEQ4DQC17U9WBWBF3V7DF24J8V","37UQDCYH6XU9LV208I2TH3HWANCV7V","A1L2N1X8U8Z3W7","2017-12-11 16:10:37+00",33,9999,36,35,34,25,-9999,-9999,-9999,-9999,0,1
23,"32CAVSKPCDOSAA05OA6EVNTGICW1UP","37C0GNLMHF24NEO9YNX753BTF5PD6G","A1L2N1X8U8Z3W7","2017-12-11 16:10:48+00",29,24,23,9999,-9999,-9999,-9999,-9999,-9999,-9999,2,1
24,"3IV1AEQ4DQC17U9WBWBF3V7DF24J8V","3W92K5RLWUGUYROHKPNWJJ30JHHV5G","A1NPDFZ4IF1WC4","2017-12-11 16:11:05+00",36,33,35,34,9999,25,-9999,-9999,-9999,-9999,0,1
25,"31GECDVA9IL2FLB1YYKSAD6HN1U66Q","3V5Q80FXIXQINL3BIWFS2H858N023S","A1M1XJS6EX0DAN","2017-12-11 16:32:38+00",31,30,26,9999,37,27,-9999,-9999,-9999,-9999,1,1
